calls,minutes,messages,mb_used,is_ultra
40,311.8999999999999,83,19915.42,0
85,516.75,56,22696.96,0
77,467.6600000000001,86,21060.449999999997,0
106,745.53,81,8437.39,1
66,418.74,1,14502.750000000002,0
58,344.56,21,15823.370000000004,0
57,431.6400000000001,20,3738.9000000000005,1
15,132.4,6,21911.6,0
7,43.39,3,2538.67,1
90,665.4100000000001,38,17358.61,0
82,560.5099999999998,20,9619.530000000002,1
45,344.32,13,19898.809999999998,0
51,437.1299999999999,61,21523.580000000005,0
56,433.0699999999999,16,16702.360000000004,0
108,587.9000000000001,0,14406.500000000002,1
6,22.13,0,2710.0899999999997,0
2,18.729999999999997,0,588.89,0
26,163.62000000000003,4,16870.340000000004,0
79,532.62,90,19908.309999999998,0
49,341.6699999999999,81,11770.28,1
93,691.37,31,25950.28,1
56,411.46000000000004,97,15393.909999999998,0
48,351.59999999999997,66,16469.9,1
11,96.04999999999998,19,2305.74,0
56,360.3,30,13560.15,0
53,356.22,52,22471.769999999986,0
81,624.71,38,8644.660000000002,1
154,1078.6399999999999,48,29335.15,1
37,286.67999999999995,44,19542.45,0
50,358.01000000000005,44,9998.83,1
41,276.80999999999995,0,19815.62,0
10,77.09,31,643.15,0
71,530.13,27,20698.51,0
65,482.35,7,23064.58,1
110,776.8499999999999,9,20790.93,1
120,814.8500000000004,0,20427.000000000004,1
76,543.1799999999998,43,31845.109999999993,1
64,422.6899999999999,0,11460.289999999999,0
23,146.18,33,9711.449999999999,0
81,519.48,34,12750.820000000003,0
34,183.27999999999997,0,18631.660000000003,0
11,85.31,7,10764.82,1
48,392.04,0,19122.13,0
50,323.98999999999995,10,20922.050000000003,1
98,665.5599999999998,106,19538.829999999998,0
35,235.57999999999996,97,20710.709999999995,0
76,535.9099999999999,65,11968.22,0
49,327.45000000000005,0,12049.91,1
5,49.949999999999996,17,3370.6899999999996,1
58,474.9200000000001,11,17858.589999999993,0
70,532.1000000000001,29,12403.260000000002,0
124,842.3999999999999,75,21544.339999999993,1
129,929.2300000000002,0,22508.960000000003,1
67,421.27000000000015,33,14865.739999999998,1
0,0,33,14010.329999999998,1
13,106.03,16,37328.45,1
68,449.2900000000001,47,18171.2,0
91,585.09,49,27339.850000000006,1
77,477.53999999999974,0,19090.740000000005,1
51,356.3900000000001,33,20456.97,0
121,853.01,64,26605.939999999988,1
114,823.5799999999999,144,30323.430000000004,1
93,622.6600000000001,0,20894.560000000005,1
125,814.5299999999999,61,16917.439999999995,1
67,390.62000000000006,99,12991.390000000005,0
98,677.18,46,16285.669999999998,0
80,556.3600000000001,64,24049.459999999995,0
33,238.7,24,9308.63,1
138,1009.1099999999999,64,27807.13,1
84,607.05,22,24875.02999999999,0
77,546.1999999999998,55,11457.440000000002,0
78,510.3400000000001,7,21765.5,0
69,477.52999999999986,7,21437.28999999998,0
58,392.14000000000004,8,22525.179999999997,0
63,427.6400000000001,93,19541.170000000006,0
72,531.8000000000001,0,11299.6,0
73,633.2199999999998,21,18421.17,0
1,1,153,22753.120000000006,1
73,562.27,11,17589.079999999994,0
43,303.5100000000001,37,15063.409999999996,0
118,843.2999999999997,69,28992.12,1
74,504.04999999999995,0,19154.16,0
76,593.5899999999999,18,15192.369999999999,0
83,609.7000000000002,78,16715.680000000004,0
56,397.14,42,8449.530000000002,0
90,633.1100000000002,61,21561.539999999997,0
141,1069.2099999999996,0,24091.360000000004,1
51,326.3400000000001,82,29084.420000000002,1
48,331.33,0,8000.360000000001,0
69,525.6700000000001,27,20939.11,1
117,862.3399999999999,0,7929.83,1
54,416.22000000000014,0,19871.44999999999,0
33,238.08,62,8470.33,0
70,527.63,40,21441.45999999999,0
78,603.91,64,18962.499999999993,0
101,666.9,57,16777.760000000002,1
29,267.55000000000007,29,16996.829999999994,0
83,538.8300000000002,60,13721.939999999999,0
67,454.43,31,19776.5,0
66,434.59000000000003,17,9613.390000000003,0
3,40.239999999999995,0,1392.19,0
107,804.97,66,17935.910000000003,0
73,509.97999999999996,58,19427.620000000003,0
74,540.8099999999998,17,20075.649999999994,0
84,566.4200000000002,0,39307.059999999976,1
29,226.01000000000002,20,12615.69,0
55,354.84000000000003,48,13662.740000000003,0
65,515.26,7,22801.74,0
47,300.12,123,31244.61,1
35,256.82,0,9545,1
83,635.4499999999999,0,17498.530000000002,1
53,386.8199999999999,3,22792.999999999985,0
68,482.78,26,8620.510000000002,0
49,323.15,11,22846.550000000003,0
158,1078.86,51,30681.140000000003,1
81,633.0199999999999,109,12617.750000000002,0
87,626.6199999999999,0,20718.430000000008,0
80,588.57,47,9863.23,0
28,215.41,0,6045.150000000001,0
40,258.19999999999993,20,13804.51,0
59,468.88,48,16251.490000000003,0
59,411.9,5,18418.159999999993,0
55,443.0899999999999,49,17435.97,0
52,354.91,8,14602.26,0
72,520.2099999999999,39,14184.420000000004,0
6,36.449999999999996,7,4617.1,0
129,848.8599999999997,0,13866.310000000001,1
68,444.41000000000014,35,26460.37,1
44,359.39,43,15583.93,0
17,110.28999999999999,5,1009.95,0
111,784.4700000000004,97,28260.10999999999,1
82,679.5500000000001,0,8647.950000000003,0
52,378.64000000000004,51,12442.039999999999,0
109,704.2999999999998,79,10603.119999999999,0
79,465.79000000000013,78,33114.229999999996,1
68,486.09000000000003,40,7357.66,1
85,464.23999999999995,9,18225.93,0
14,122.87,22,3370.13,0
92,627.5200000000002,52,39597.610000000015,1
106,839.3100000000001,0,13269.800000000003,0
94,647.46,57,17271.530000000002,0
65,462.11000000000007,12,18704.860000000008,0
46,336.6300000000001,34,16164.600000000002,0
133,999.7399999999999,182,18198.53,1
53,340.04,38,15779.549999999997,0
75,520.7,0,24596.119999999995,0
64,521.3000000000002,29,19315.390000000003,0
81,627.5599999999998,37,18603.429999999997,0
38,268.76000000000005,0,27833.640000000007,1
74,455.72999999999985,99,21694.919999999987,0
92,661.27,66,19913.219999999994,0
63,439.38000000000005,8,17706.589999999997,0
60,414.79999999999995,0,14945.34,0
72,457.2100000000001,0,13976.580000000004,0
58,359.2699999999999,36,12492.36,0
100,657.35,0,23039.760000000002,1
33,228.98,12,18113.829999999998,0
31,198.94000000000003,19,5877.080000000001,0
64,454.63,126,17103.589999999997,1
125,892.3900000000002,59,11741.360000000002,1
61,495.11000000000007,8,10891.23,0
58,394.15,48,15605.440000000002,0
58,452.1399999999999,57,14568.929999999997,1
89,618.87,57,22924.759999999987,0
72,507.5200000000001,38,3179.4999999999995,1
77,581.0600000000001,16,20897.189999999995,0
74,555.2899999999998,22,21238.25,0
72,480.31999999999994,102,21924.63,0
50,366.78,14,18151.860000000008,0
76,633.0100000000001,22,17689.05,0
27,179.47,82,19631.629999999994,0
196,1279.7500000000011,133,26927.870000000014,1
37,229.15000000000006,110,2000.5100000000002,0
64,403.50999999999993,54,19127.250000000004,0
65,442.6499999999999,72,32950.35999999999,1
65,429.9600000000001,103,16508.74,0
65,424.15999999999997,23,11043.53,0
110,801.6199999999997,37,5426.56,1
38,205.60000000000005,22,7972.120000000002,0
24,141.63,26,8616.960000000003,0
99,634.32,43,16436.320000000007,0
75,487.72000000000014,60,25759.169999999995,0
62,544.2499999999999,29,10049.810000000001,0
162,993.1100000000001,106,20211.199999999997,1
73,576.62,42,7865.58,0
53,368.85999999999996,54,22512.57999999999,0
28,152.9,108,19726.18,0
116,745.3999999999997,66,26154.329999999998,0
76,504.8699999999999,30,16845.7,0
40,311.7899999999999,24,9883.539999999999,0
109,784.5500000000001,0,38102.20000000002,1
62,456.8799999999999,42,23639.099999999984,0
123,810.6700000000001,12,36684.48999999998,1
18,101.35000000000001,34,13049.180000000002,0
21,145.88000000000002,39,7084.12,0
125,874.85,22,20647.82,1
64,484.5200000000001,92,22217.14999999999,0
12,107.25,5,2016.72,0
2,6.42,133,26247.410000000014,1
86,591.06,73,11309.140000000003,0
